,"gross returns, 4h","net returns, 4h","gross returns, 8h","net returns, 8h","gross returns, 12h","net returns, 12h","gross returns, 24h","net returns, 24h"
2020-12-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-20 04:00:00,0.0,0.0,,,,,,
2020-12-20 08:00:00,0.0,0.0,0.0,0.0,,,,
2020-12-20 12:00:00,0.0,0.0,,,0.0,0.0,,
2020-12-20 16:00:00,0.0,0.0,0.0,0.0,,,,
2020-12-20 20:00:00,0.0,0.0,,,,,,
2020-12-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-21 04:00:00,0.0,0.0,,,,,,
2020-12-21 08:00:00,0.0,0.0,0.0,0.0,,,,
2020-12-21 12:00:00,0.0,0.0,,,0.0,0.0,,
2020-12-21 16:00:00,0.0,0.0,0.0,0.0,,,,
2020-12-21 20:00:00,0.0,0.0,,,,,,
2020-12-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-22 04:00:00,0.0,0.0,,,,,,
2020-12-22 08:00:00,0.0,0.0,0.0,0.0,,,,
2020-12-22 12:00:00,0.0,0.0,,,0.0,0.0,,
2020-12-22 16:00:00,0.0,0.0,0.0,0.0,,,,
2020-12-22 20:00:00,0.0,0.0,,,,,,
2020-12-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-23 04:00:00,0.0,0.0,,,,,,
2020-12-23 08:00:00,0.0,0.0,0.0,0.0,,,,
2020-12-23 12:00:00,0.0,0.0,,,0.0,0.0,,
2020-12-23 16:00:00,0.0,0.0,0.0,0.0,,,,
2020-12-23 20:00:00,0.0,0.0,,,,,,
2020-12-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-24 04:00:00,0.0,0.0,,,,,,
2020-12-24 08:00:00,0.0,0.0,0.0,0.0,,,,
2020-12-24 12:00:00,0.0,0.0,,,0.0,0.0,,
2020-12-24 16:00:00,0.0,0.0,0.0,0.0,,,,
2020-12-24 20:00:00,0.0,0.0,,,,,,
